Date,Description,Category,Amount,Type,clean_description
11-09-2022,Human see.,Utilities,380.91,Expense,human see
11-09-2022,Never condition.,Shopping,68.09,Expense,never condition
12-09-2022,Despite off consumer second.,Entertainment,904.65,Expense,despite consumer second
14-09-2022,Say dog drug enter.,Food & Drink,1412.42,Expense,say dog drug enter
15-09-2022,Strong student green.,Rent,1158.92,Expense,strong student green
15-09-2022,Turn put professional.,Utilities,737.93,Expense,turn put professional
17-09-2022,When summer he firm together.,Investment,2649,Income,summer firm together
18-09-2022,Make worker trouble.,Salary,1060.15,Expense,make worker trouble
19-09-2022,Develop office approach son.,Shopping,1226.5,Expense,develop office approach son
19-09-2022,Allow girl team simply lead.,Health & Fitness,710.45,Expense,allow girl team simply lead
21-09-2022,Least ready activity decision ok.,Utilities,1629.34,Expense,least ready activity decision
23-09-2022,Party employee nature down.,Travel,1838.18,Expense,party employee nature
26-09-2022,Gas contain interest industry sell.,Utilities,633.24,Expense,gas contain interest industry sell
26-09-2022,Evidence conference capital office.,Rent,374.26,Expense,evidence conference capital office
28-09-2022,Result sound.,Shopping,842.3,Expense,result sound
29-09-2022,Task cultural son school.,Other,3965,Income,task cultural son school
29-09-2022,Computer matter.,Investment,1866,Income,computer matter
30-09-2022,Result size feel no nothing.,Utilities,382.33,Expense,result size feel nothing
01-10-2022,Real art.,Food & Drink,1732.39,Expense,real art
02-10-2022,Stuff benefit seat employee.,Salary,281.7,Expense,stuff benefit seat employee
03-10-2022,Newspaper special general in go.,Salary,824.18,Expense,newspaper special general
04-10-2022,Office power company sister great.,Salary,982.51,Expense,office power company sister great
04-10-2022,Simple land bad party.,Investment,2306,Income,simple land bad party
05-10-2022,What than political up instead.,Travel,457.44,Expense,political instead
08-10-2022,Support author class direction.,Salary,1135.64,Expense,support author class direction
10-10-2022,Report painting house.,Salary,1103.96,Expense,report painting house
12-10-2022,Security minute late cold.,Investment,2694,Income,security minute late cold
12-10-2022,Road product wait.,Health & Fitness,1088.67,Expense,road product wait
13-10-2022,Cold billion as.,Salary,1097.24,Expense,cold billion
19-10-2022,Approach side model you billion.,Rent,1474.62,Expense,approach side model billion
19-10-2022,Pressure those.,Entertainment,602.44,Expense,pressure
20-10-2022,Easy exist phone.,Salary,533,Expense,easy exist phone
21-10-2022,Stuff agreement professional team foot.,Rent,883.75,Expense,stuff agreement professional team foot
22-10-2022,Window music evening know.,Entertainment,427.66,Expense,window music evening know
23-10-2022,Opportunity lead see.,Health & Fitness,1723.49,Expense,opportunity lead see
25-10-2022,Model police finally girl.,Shopping,340.3,Expense,model police finally girl
28-10-2022,Source kind hand.,Investment,2195,Income,source kind hand
30-10-2022,Field a spring.,Health & Fitness,1069.24,Expense,field spring
31-10-2022,Expert movement reach man.,Utilities,654.07,Expense,expert movement reach man
03-11-2022,Across involve fall.,Travel,1149.74,Expense,across involve fall
04-11-2022,Nature country.,Rent,279.82,Expense,nature country
05-11-2022,House clear say hope.,Shopping,1838.35,Expense,house clear say hope
07-11-2022,Enjoy instead dream.,Utilities,1405.84,Expense,enjoy instead dream
07-11-2022,Possible mother especially.,Investment,3138,Income,possible mother especially
09-11-2022,Consumer face.,Shopping,984.02,Expense,consumer face
10-11-2022,Laugh red man fly charge.,Travel,1259.35,Expense,laugh red man fly charge
13-11-2022,Control bill.,Rent,1270.92,Expense,control bill
14-11-2022,Resource road do.,Rent,811.67,Expense,resource road
14-11-2022,Management game.,Health & Fitness,914.84,Expense,management game
15-11-2022,Your less social form.,Food & Drink,1739.13,Expense,less social form
17-11-2022,Entire hotel.,Rent,1464.55,Expense,entire hotel
17-11-2022,Consider time economic high.,Health & Fitness,1701.71,Expense,consider time economic high
18-11-2022,Window research his.,Shopping,443.48,Expense,window research
19-11-2022,Scene almost leave.,Entertainment,994.48,Expense,scene almost leave
21-11-2022,Program decade home which view.,Travel,682.13,Expense,program decade home view
22-11-2022,Rock seat near business loss.,Salary,1578.72,Expense,rock seat near business loss
26-11-2022,Growth appear project.,Food & Drink,101.43,Expense,growth appear project
26-11-2022,Plan foot cold.,Salary,42.4,Expense,plan foot cold
28-11-2022,Build smile across among situation.,Utilities,888.16,Expense,build smile across among situation
28-11-2022,Choice side eat matter rather.,Other,2157,Income,choice side eat matter rather
01-12-2022,Art green child movie blue.,Utilities,1765.47,Expense,art green child movie blue
03-12-2022,First next popular.,Travel,195.75,Expense,first next popular
04-12-2022,Run again help right.,Rent,749.97,Expense,run help right
05-12-2022,Magazine join.,Utilities,113.06,Expense,magazine join
05-12-2022,Recent couple cost girl run.,Entertainment,864.17,Expense,recent couple cost girl run
07-12-2022,Trial never attention choice fast.,Investment,508,Income,trial never attention choice fast
12-12-2022,Happen a point here control.,Rent,274.07,Expense,happen point control
13-12-2022,Task simply draw return probably.,Salary,28.48,Expense,task simply draw return probably
15-12-2022,Couple raise she child.,Rent,1976.43,Expense,couple raise child
16-12-2022,Important focus benefit probably.,Utilities,960.62,Expense,important focus benefit probably
18-12-2022,Condition all blood.,Rent,1464.22,Expense,condition blood
22-12-2022,All politics.,Other,3511,Income,politics
28-12-2022,Moment red eight hand.,Utilities,771.61,Expense,moment red eight hand
30-12-2022,Us decade.,Utilities,1286.74,Expense,decade
31-12-2022,Life police.,Rent,1065.71,Expense,life police
03-01-2023,Sea three state some around.,Investment,4105,Income,sea three state around
04-01-2023,American audience fight war whether.,Entertainment,1259.88,Expense,american audience fight war whether
04-01-2023,Rise mother.,Other,4124,Income,rise mother
06-01-2023,Moment eat personal.,Rent,1794.22,Expense,moment eat personal
09-01-2023,See indeed black police group.,Investment,3645,Income,see indeed black police group
10-01-2023,Third coach congress husband.,Shopping,635.86,Expense,third coach congress husband
11-01-2023,Move outside value.,Other,1190,Income,move outside value
13-01-2023,Yard foot he share issue.,Travel,1560.15,Expense,yard foot share issue
15-01-2023,Drive nation heart nearly season.,Travel,418.84,Expense,drive nation heart nearly season
16-01-2023,Language however risk work.,Entertainment,1498.21,Expense,language however risk work
17-01-2023,Career three according worker democrat.,Food & Drink,1569.77,Expense,career three according worker democrat
18-01-2023,Sign wall.,Entertainment,994.83,Expense,sign wall
19-01-2023,Memory number occur behind leave.,Other,1081,Income,memory number occur behind leave
19-01-2023,Enter threat economic.,Food & Drink,1973.9,Expense,enter threat economic
19-01-2023,Begin hundred truth.,Utilities,779.81,Expense,begin hundred truth
19-01-2023,Society common stay ready.,Shopping,737.17,Expense,society common stay ready
19-01-2023,Organization feel.,Salary,1909.36,Expense,organization feel
20-01-2023,Bad argue side girl.,Food & Drink,1178.85,Expense,bad argue side girl
21-01-2023,Us building side section.,Investment,826,Income,building side section
21-01-2023,Him fight american music change.,Shopping,1018.16,Expense,fight american music change
22-01-2023,Check purpose young.,Shopping,852.91,Expense,check purpose young
23-01-2023,Offer bed it skill challenge.,Utilities,562.16,Expense,offer bed skill challenge
23-01-2023,Live seat.,Entertainment,1948.88,Expense,live seat
23-01-2023,Energy huge its recently.,Other,3700,Income,energy huge recently
24-01-2023,Nice maintain present cultural.,Rent,627.24,Expense,nice maintain present cultural
24-01-2023,Drug entire involve.,Entertainment,125.23,Expense,drug entire involve
24-01-2023,Both including.,Other,1450,Income,including
24-01-2023,Couple general pretty show.,Food & Drink,625.49,Expense,couple general pretty show
24-01-2023,Pattern wrong kind certainly.,Utilities,247.69,Expense,pattern wrong kind certainly
24-01-2023,Current health serious.,Food & Drink,336.03,Expense,current health serious
25-01-2023,Science drug.,Travel,342.26,Expense,science drug
26-01-2023,Add really born.,Other,1467,Income,add really born
27-01-2023,Age decade mrs data.,Food & Drink,676.67,Expense,age decade mrs data
27-01-2023,Nature performance yeah.,Rent,533.27,Expense,nature performance yeah
28-01-2023,On professional analysis color.,Rent,997.33,Expense,professional analysis color
29-01-2023,Smile peace apply.,Food & Drink,1004.22,Expense,smile peace apply
29-01-2023,Home even.,Health & Fitness,323.05,Expense,home even
30-01-2023,Affect test.,Rent,464.52,Expense,affect test
31-01-2023,Woman meet report.,Food & Drink,1718.79,Expense,woman meet report
31-01-2023,Term mother cost may.,Investment,4364,Income,term mother cost may
01-02-2023,Unit again easy morning four.,Utilities,366.13,Expense,unit easy morning four
02-02-2023,Adult range green.,Food & Drink,1110.2,Expense,adult range green
03-02-2023,You without every.,Shopping,456.79,Expense,without every
06-02-2023,Election hit yourself wrong want.,Health & Fitness,549.8,Expense,election hit wrong want
07-02-2023,Charge today prevent.,Other,1478,Income,charge today prevent
07-02-2023,Minute question their rather.,Food & Drink,366.9,Expense,minute question rather
08-02-2023,Of interview fine.,Food & Drink,1908.62,Expense,interview fine
08-02-2023,My deal catch must.,Other,2812,Income,deal catch must
09-02-2023,Finally relate model.,Travel,661.33,Expense,finally relate model
12-02-2023,Yet wish certain usually.,Food & Drink,744.15,Expense,yet wish certain usually
13-02-2023,Attack mouth rest contain.,Travel,1481.76,Expense,attack mouth rest contain
16-02-2023,Field seat start pm.,Entertainment,1467.6,Expense,field seat start
18-02-2023,Single blood continue.,Entertainment,309.63,Expense,single blood continue
20-02-2023,Note discuss discussion reach grow.,Food & Drink,473.67,Expense,note discuss discussion reach grow
20-02-2023,Maybe painting republican.,Food & Drink,1902.47,Expense,maybe painting republican
22-02-2023,System man case.,Other,3019,Income,system man case
22-02-2023,Allow share address.,Investment,3939,Income,allow share address
24-02-2023,Development provide dark daughter.,Food & Drink,1945.39,Expense,development provide dark daughter
26-02-2023,Term majority foot leader.,Other,1262,Income,term majority foot leader
26-02-2023,If among save herself.,Investment,4757,Income,among save
26-02-2023,Particularly score order modern.,Health & Fitness,922.33,Expense,particularly score modern
28-02-2023,Body lead there there early.,Rent,1015.8,Expense,body lead early
03-03-2023,Worker always hold share.,Shopping,158.91,Expense,worker always hold share
03-03-2023,Fact huge fight.,Shopping,1328.26,Expense,fact huge fight
05-03-2023,Coach family try ready.,Other,2638,Income,coach family try ready
05-03-2023,Stop later reveal both.,Shopping,1404.44,Expense,stop later reveal
05-03-2023,Career including late condition opportunity.,Health & Fitness,910.99,Expense,career including late condition opportunity
07-03-2023,Bed food possible represent.,Entertainment,280.86,Expense,bed food possible represent
08-03-2023,Before relationship plant.,Rent,319.27,Expense,relationship plant
08-03-2023,Religious risk window partner civil.,Other,3072,Income,religious risk window partner civil
08-03-2023,Analysis color friend the.,Health & Fitness,1929.62,Expense,analysis color friend
08-03-2023,Than condition republican.,Travel,932.06,Expense,condition republican
10-03-2023,Finally shoulder land.,Rent,323.65,Expense,finally shoulder land
10-03-2023,Together whether about.,Food & Drink,437.89,Expense,together whether
12-03-2023,Learn talk.,Utilities,191.51,Expense,learn talk
13-03-2023,Part management.,Health & Fitness,798.53,Expense,part management
13-03-2023,Process law kind over according.,Other,2631,Income,process law kind according
13-03-2023,People newspaper stay.,Utilities,71.85,Expense,people newspaper stay
15-03-2023,Challenge president already.,Salary,1116.35,Expense,challenge president already
15-03-2023,Study fear turn any indicate.,Rent,929.47,Expense,study fear turn indicate
16-03-2023,Public particularly reality.,Utilities,251.69,Expense,public particularly reality
16-03-2023,Concern lay often use behavior.,Investment,1570,Income,concern lay often use behavior
18-03-2023,Happy her attack interview.,Other,3549,Income,happy attack interview
18-03-2023,Fall care.,Rent,1168.82,Expense,fall care
21-03-2023,Money modern receive partner.,Rent,53.38,Expense,money modern receive partner
22-03-2023,Role pick would low read.,Other,1555,Income,role pick would low read
23-03-2023,Participant first moment yet.,Other,1503,Income,participant first moment yet
23-03-2023,Pass market role.,Other,914,Income,pass market role
23-03-2023,Space this discussion fact.,Other,3735,Income,space discussion fact
24-03-2023,Brother let.,Shopping,1369.59,Expense,brother let
27-03-2023,Son yourself increase.,Investment,2033,Income,son increase
29-03-2023,Night point action cut.,Salary,1768.01,Expense,night point action cut
30-03-2023,So film media.,Investment,2917,Income,film media
31-03-2023,Box four.,Salary,131.35,Expense,box four
31-03-2023,Pattern ahead compare form full.,Utilities,844.28,Expense,pattern ahead compare form full
01-04-2023,Something population loss physical.,Entertainment,1265.2,Expense,something population loss physical
01-04-2023,Leg sport until argue.,Food & Drink,1978.91,Expense,leg sport argue
04-04-2023,North question new.,Health & Fitness,964.57,Expense,north question new
07-04-2023,Officer forward trouble.,Health & Fitness,1826.23,Expense,officer forward trouble
08-04-2023,Wide exactly.,Shopping,548.17,Expense,wide exactly
09-04-2023,Worker phone success number.,Investment,740,Income,worker phone success number
10-04-2023,Organization ten seem.,Travel,126.6,Expense,organization ten seem
10-04-2023,Even beautiful.,Health & Fitness,1536.02,Expense,even beautiful
13-04-2023,Later week democratic few.,Utilities,209.27,Expense,later week democratic
15-04-2023,Size sing tree kitchen.,Travel,1072.04,Expense,size sing tree kitchen
16-04-2023,Toward child future low.,Food & Drink,1530.46,Expense,toward child future low
20-04-2023,Simply century the.,Shopping,716.06,Expense,simply century
20-04-2023,Day already hold.,Utilities,360.44,Expense,day already hold
21-04-2023,About usually.,Health & Fitness,1828.82,Expense,usually
22-04-2023,Level animal minute probably.,Other,1664,Income,level animal minute probably
22-04-2023,Officer fine.,Entertainment,1675.03,Expense,officer fine
23-04-2023,Customer expert mother significant.,Salary,1088.83,Expense,customer expert mother significant
24-04-2023,Chance event address.,Investment,1239,Income,chance event address
25-04-2023,Bill my near even wall.,Investment,663,Income,bill near even wall
02-05-2023,Each author party full kitchen.,Food & Drink,670.15,Expense,author party full kitchen
02-05-2023,Likely push.,Utilities,688.11,Expense,likely push
03-05-2023,Approach interview condition other.,Other,987,Income,approach interview condition
05-05-2023,Green forward cup serve speak.,Investment,1408,Income,green forward cup serve speak
05-05-2023,Nothing behavior sort recognize.,Health & Fitness,1921.51,Expense,nothing behavior sort recognize
05-05-2023,Financial popular short like.,Shopping,1176.17,Expense,financial popular short like
07-05-2023,Technology pay tree.,Health & Fitness,281.54,Expense,technology pay tree
12-05-2023,Record professor small.,Other,4491,Income,record professor small
14-05-2023,Maintain assume both long.,Utilities,1417.29,Expense,maintain assume long
14-05-2023,Should page camera.,Health & Fitness,454.24,Expense,page camera
14-05-2023,Stage someone for power.,Utilities,762.98,Expense,stage someone power
15-05-2023,Leave opportunity draw during city.,Travel,263.42,Expense,leave opportunity draw city
15-05-2023,At decade really issue.,Shopping,1703.01,Expense,decade really issue
16-05-2023,Skin name door production back.,Food & Drink,372.34,Expense,skin name door production back
17-05-2023,Boy other foot best.,Entertainment,1282.9,Expense,boy foot best
18-05-2023,Final image our.,Other,1652,Income,final image
19-05-2023,Management produce bed stage.,Rent,483.61,Expense,management produce bed stage
20-05-2023,Serious produce.,Utilities,1276.01,Expense,serious produce
20-05-2023,Factor past language day theory.,Health & Fitness,898.79,Expense,factor past language day theory
20-05-2023,Some quickly truth view response.,Entertainment,1389.42,Expense,quickly truth view response
22-05-2023,Old particularly.,Rent,1443.62,Expense,old particularly
22-05-2023,Summer system artist too.,Other,3937,Income,summer system artist
22-05-2023,Reflect star.,Shopping,991.23,Expense,reflect star
25-05-2023,Technology tend.,Shopping,211.84,Expense,technology tend
28-05-2023,Reduce hour fish him.,Entertainment,333.69,Expense,reduce hour fish
29-05-2023,Nation production little could.,Investment,2915,Income,nation production little could
29-05-2023,Style child young prove.,Other,1357,Income,style child young prove
30-05-2023,Author administration.,Investment,3575,Income,author administration
02-06-2023,Window career case south.,Investment,4981,Income,window career case south
03-06-2023,Us perhaps lawyer interest star.,Rent,682.52,Expense,perhaps lawyer interest star
04-06-2023,Difficult interesting account marriage.,Salary,1411.96,Expense,difficult interesting account marriage
05-06-2023,Especially unit office almost.,Utilities,1218.56,Expense,especially unit office almost
08-06-2023,Low happy oil which bag.,Food & Drink,211.5,Expense,low happy oil bag
08-06-2023,Let back three.,Entertainment,824.47,Expense,let back three
09-06-2023,Line score whether.,Travel,1324.59,Expense,line score whether
09-06-2023,Something fine apply gas sing.,Rent,108.77,Expense,something fine apply gas sing
10-06-2023,Mention light safe inside.,Salary,315.64,Expense,mention light safe inside
10-06-2023,Cold reason our.,Shopping,184.38,Expense,cold reason
13-06-2023,Employee picture official of prevent.,Salary,407.35,Expense,employee picture official prevent
15-06-2023,Agree machine camera baby six.,Investment,2890,Income,agree machine camera baby six
16-06-2023,Past every either.,Salary,1689.1,Expense,past every either
16-06-2023,Company option character land space.,Shopping,947.18,Expense,company option character land space
17-06-2023,Machine son television.,Travel,191.36,Expense,machine son television
17-06-2023,Whose other.,Utilities,748.33,Expense,whose
19-06-2023,Sell include himself produce.,Utilities,897.09,Expense,sell include produce
21-06-2023,Official success approach.,Salary,534.17,Expense,official success approach
22-06-2023,Apply less.,Food & Drink,310.75,Expense,apply less
22-06-2023,Live way two.,Rent,180.56,Expense,live way two
23-06-2023,Raise hope enjoy most.,Shopping,1941.7,Expense,raise hope enjoy
25-06-2023,Eye something.,Food & Drink,1683.19,Expense,eye something
25-06-2023,Which raise american truth.,Shopping,1931.6,Expense,raise american truth
25-06-2023,Particular present evening establish.,Salary,1149.7,Expense,particular present evening establish
26-06-2023,Pressure hospital significant.,Travel,167.12,Expense,pressure hospital significant
30-06-2023,Side mind question year finish.,Food & Drink,1009.18,Expense,side mind question year finish
01-07-2023,Story activity.,Utilities,249.36,Expense,story activity
02-07-2023,Billion land detail exist cover.,Utilities,1898.63,Expense,billion land detail exist cover
05-07-2023,Begin voice prevent structure wear.,Investment,2078,Income,begin voice prevent structure wear
05-07-2023,Beat painting heavy.,Other,1141,Income,beat painting heavy
06-07-2023,To receive education.,Shopping,411.82,Expense,receive education
07-07-2023,Police two.,Utilities,1669.88,Expense,police two
07-07-2023,Realize property show either.,Rent,183.18,Expense,realize property show either
10-07-2023,Since him four.,Health & Fitness,1714.68,Expense,since four
10-07-2023,Western enough key.,Food & Drink,1575.24,Expense,western enough key
10-07-2023,Particular condition man.,Shopping,233.91,Expense,particular condition man
10-07-2023,Shoulder despite poor tree resource.,Investment,1365,Income,shoulder despite poor tree resource
11-07-2023,Authority number.,Rent,1573.63,Expense,authority number
13-07-2023,Affect marriage present a.,Health & Fitness,1757.01,Expense,affect marriage present
15-07-2023,Entire record toward off.,Salary,1148.33,Expense,entire record toward
15-07-2023,Long identify road speech.,Utilities,558.07,Expense,long identify road speech
15-07-2023,Difficult his ready sister building.,Other,817,Income,difficult ready sister building
15-07-2023,Four field area young.,Health & Fitness,1384.12,Expense,four field area young
15-07-2023,Movement which ball least.,Other,2700,Income,movement ball least
16-07-2023,Computer always his.,Food & Drink,682.35,Expense,computer always
17-07-2023,Receive to piece.,Travel,567.89,Expense,receive piece
18-07-2023,Be plan same cause.,Rent,1945.27,Expense,plan cause
19-07-2023,Rest or.,Travel,1948.7,Expense,rest
19-07-2023,As music film move.,Health & Fitness,546.15,Expense,music film move
20-07-2023,Already argue.,Rent,383.99,Expense,already argue
21-07-2023,Brother southern project learn.,Shopping,1484.48,Expense,brother southern project learn
23-07-2023,Scientist do author.,Health & Fitness,1643.82,Expense,scientist author
25-07-2023,President likely truth animal.,Utilities,140.58,Expense,president likely truth animal
26-07-2023,Common anyone.,Shopping,279.94,Expense,common anyone
27-07-2023,Lay color.,Food & Drink,355.74,Expense,lay color
27-07-2023,Box organization.,Entertainment,1675.58,Expense,box organization
30-07-2023,Source international.,Salary,110.61,Expense,source international
01-08-2023,Building range national focus.,Entertainment,555.22,Expense,building range national focus
04-08-2023,Or friend.,Shopping,1274.47,Expense,friend
05-08-2023,Center indeed recent.,Investment,2481,Income,center indeed recent
07-08-2023,Just understand american.,Salary,363.39,Expense,understand american
07-08-2023,Partner sing administration main according.,Health & Fitness,695.06,Expense,partner sing administration main according
09-08-2023,Religious order.,Travel,1500.43,Expense,religious
09-08-2023,Really society live camera.,Travel,64.63,Expense,really society live camera
10-08-2023,Mission include visit.,Investment,2313,Income,mission include visit
10-08-2023,Conference matter wear physical site.,Entertainment,545.48,Expense,conference matter wear physical site
11-08-2023,Above dog brother morning.,Food & Drink,1730.61,Expense,dog brother morning
16-08-2023,Gun seven music despite show.,Food & Drink,953.45,Expense,gun seven music despite show
17-08-2023,Apply both chance.,Investment,569,Income,apply chance
17-08-2023,Computer prove amount population.,Travel,1428.35,Expense,computer prove amount population
21-08-2023,Itself free source.,Travel,853.38,Expense,free source
22-08-2023,Bit appear.,Health & Fitness,923.41,Expense,bit appear
23-08-2023,Citizen ahead method.,Travel,1357.62,Expense,citizen ahead method
25-08-2023,Return or for.,Shopping,1173.13,Expense,return
27-08-2023,Discover body direction down.,Other,2815,Income,discover body direction
30-08-2023,Heart determine likely.,Rent,968.66,Expense,heart determine likely
30-08-2023,Three certain.,Travel,1284.78,Expense,three certain
30-08-2023,Hold carry rest.,Travel,1315.68,Expense,hold carry rest
30-08-2023,Dark camera realize.,Travel,384.84,Expense,dark camera realize
01-09-2023,Carry surface learn.,Entertainment,1800.38,Expense,carry surface learn
01-09-2023,Detail far church some.,Shopping,1324.46,Expense,detail far church
03-09-2023,Wife talk beat tax majority.,Food & Drink,1314.25,Expense,wife talk beat tax majority
04-09-2023,List leg address into their.,Travel,1814.75,Expense,list leg address
04-09-2023,Its develop until watch.,Food & Drink,1170.22,Expense,develop watch
04-09-2023,Individual analysis.,Entertainment,692.9,Expense,individual analysis
07-09-2023,Almost most look something.,Salary,1813.99,Expense,almost look something
10-09-2023,Manager bar send really.,Travel,1692.38,Expense,manager bar send really
11-09-2023,Car fast positive.,Utilities,594.63,Expense,car fast positive
11-09-2023,Look fight.,Travel,1453.12,Expense,look fight
12-09-2023,Section agency lawyer sign them.,Utilities,1894.38,Expense,section agency lawyer sign
12-09-2023,Smile have less.,Rent,452.28,Expense,smile less
13-09-2023,Audience throw four allow international.,Travel,846.74,Expense,audience throw four allow international
14-09-2023,My some skin ball thing.,Health & Fitness,528.51,Expense,skin ball thing
14-09-2023,War push thousand book half.,Rent,946.37,Expense,war push thousand book half
14-09-2023,Hand possible relate night.,Rent,949.72,Expense,hand possible relate night
15-09-2023,Wonder draw box.,Investment,3626,Income,wonder draw box
15-09-2023,That reflect send set fly.,Shopping,117.58,Expense,reflect send set fly
16-09-2023,Quite everyone as generation.,Utilities,1984.77,Expense,quite everyone generation
16-09-2023,Money but report question.,Salary,295.02,Expense,money report question
21-09-2023,Later happy pull.,Utilities,1560.09,Expense,later happy pull
21-09-2023,Throughout leader bag.,Utilities,633.69,Expense,throughout leader bag
23-09-2023,When baby clearly.,Other,2740,Income,baby clearly
24-09-2023,Many themselves minute.,Utilities,1156.8,Expense,many minute
28-09-2023,Indicate radio use.,Investment,1560,Income,indicate radio use
29-09-2023,Information scene again country.,Shopping,812.75,Expense,information scene country
03-10-2023,Strong mind from.,Shopping,19.29,Expense,strong mind
04-10-2023,Pretty skin main program.,Health & Fitness,1900.64,Expense,pretty skin main program
04-10-2023,Knowledge fight car smile commercial.,Entertainment,45.65,Expense,knowledge fight car smile commercial
05-10-2023,Machine wife show.,Investment,2353,Income,machine wife show
06-10-2023,Good lay coach.,Health & Fitness,631.06,Expense,good lay coach
08-10-2023,Expect win stuff realize project.,Other,1868,Income,expect win stuff realize project
08-10-2023,Draw american first.,Investment,2942,Income,draw american first
08-10-2023,Employee continue none alone.,Salary,1458.39,Expense,employee continue none alone
09-10-2023,Challenge large wish move.,Health & Fitness,872.99,Expense,challenge large wish move
09-10-2023,Identify material.,Utilities,692.04,Expense,identify material
11-10-2023,Until choose wife national.,Health & Fitness,1502.73,Expense,choose wife national
13-10-2023,Positive far time wide.,Other,656,Income,positive far time wide
14-10-2023,Son rock two.,Utilities,430.27,Expense,son rock two
14-10-2023,Rule too.,Investment,1508,Income,rule
15-10-2023,Bring agent pay detail group.,Food & Drink,756.63,Expense,bring agent pay detail group
15-10-2023,Part crime.,Food & Drink,1191.91,Expense,part crime
16-10-2023,Sit short cultural.,Investment,661,Income,sit short cultural
17-10-2023,Support quality whatever wish hour.,Investment,3914,Income,support quality whatever wish hour
17-10-2023,Owner memory argue project.,Rent,1099.09,Expense,owner memory argue project
27-10-2023,Respond into history.,Utilities,418.93,Expense,respond history
27-10-2023,General final knowledge.,Food & Drink,609.22,Expense,general final knowledge
29-10-2023,Democratic thousand.,Travel,1249.37,Expense,democratic thousand
30-10-2023,Eye south wife interest.,Shopping,1663,Expense,eye south wife interest
30-10-2023,Structure our century.,Investment,2815,Income,structure century
04-11-2023,Write moment friend value.,Investment,4577,Income,write moment friend value
05-11-2023,According police.,Investment,2654,Income,according police
08-11-2023,Company left nothing trip.,Entertainment,722.26,Expense,company left nothing trip
08-11-2023,Strategy face make.,Utilities,88.42,Expense,strategy face make
08-11-2023,Fight nice less agree able.,Entertainment,1379.53,Expense,fight nice less agree able
09-11-2023,What strong line.,Entertainment,15.45,Expense,strong line
09-11-2023,Conference trade population agreement.,Rent,1672.11,Expense,conference trade population agreement
11-11-2023,Yes at seat ok.,Utilities,1899.4,Expense,yes seat
11-11-2023,Than physical live reason.,Rent,1449.89,Expense,physical live reason
13-11-2023,Mention offer suddenly clear.,Other,2393,Income,mention offer suddenly clear
14-11-2023,Floor there career.,Travel,535.61,Expense,floor career
14-11-2023,Evening information.,Investment,823,Income,evening information
15-11-2023,Face morning.,Health & Fitness,1605.18,Expense,face morning
17-11-2023,Create physical share out cold.,Rent,199.05,Expense,create physical share cold
18-11-2023,Step rate feeling rate.,Food & Drink,29.25,Expense,step rate feeling rate
21-11-2023,Move goal.,Investment,3192,Income,move goal
21-11-2023,Carry example.,Salary,1910.63,Expense,carry example
22-11-2023,Future treat bill choice.,Rent,751.52,Expense,future treat bill choice
23-11-2023,Somebody next ready.,Rent,807.55,Expense,somebody next ready
23-11-2023,Republican reduce sort individual trouble.,Travel,1673.06,Expense,republican reduce sort individual trouble
26-11-2023,Type look find.,Salary,1601.8,Expense,type look find
26-11-2023,Stage threat our.,Utilities,234.98,Expense,stage threat
26-11-2023,Report agreement sport.,Food & Drink,1963.32,Expense,report agreement sport
26-11-2023,Task central dinner.,Rent,837.9,Expense,task central dinner
27-11-2023,Candidate bad real.,Salary,370.71,Expense,candidate bad real
27-11-2023,Affect machine.,Health & Fitness,1226.6,Expense,affect machine
28-11-2023,Cultural allow.,Utilities,971.33,Expense,cultural allow
28-11-2023,Arrive budget education at property.,Shopping,886.97,Expense,arrive budget education property
29-11-2023,Turn day top.,Other,601,Income,turn day top
05-12-2023,Ahead certainly second everyone.,Entertainment,1956.01,Expense,ahead certainly second everyone
05-12-2023,Goal talk sit party.,Health & Fitness,1043.01,Expense,goal talk sit party
06-12-2023,Attention standard shake more respond.,Rent,871.37,Expense,attention standard shake respond
08-12-2023,Top mr wind.,Salary,698.04,Expense,top wind
09-12-2023,Turn surface listen.,Shopping,305.82,Expense,turn surface listen
09-12-2023,Pull blue strong wonder.,Food & Drink,33.17,Expense,pull blue strong wonder
10-12-2023,Method imagine seven.,Salary,1705.22,Expense,method imagine seven
11-12-2023,Letter mind many.,Rent,1505.35,Expense,letter mind many
13-12-2023,News american foreign.,Health & Fitness,1940.59,Expense,news american foreign
14-12-2023,Exist outside find wish.,Investment,3601,Income,exist outside find wish
14-12-2023,Network fact talk.,Entertainment,166.87,Expense,network fact talk
18-12-2023,Thus sort.,Salary,185.16,Expense,thus sort
20-12-2023,Actually purpose public.,Health & Fitness,246.23,Expense,actually purpose public
21-12-2023,Mission put budget house.,Food & Drink,214.26,Expense,mission put budget house
22-12-2023,Ask window full.,Food & Drink,1653.56,Expense,ask window full
23-12-2023,Do interesting material.,Travel,1781.32,Expense,interesting material
25-12-2023,Event smile popular hundred live.,Salary,1901.21,Expense,event smile popular hundred live
26-12-2023,Memory challenge lawyer business.,Food & Drink,1635.01,Expense,memory challenge lawyer business
27-12-2023,Discuss wall ahead scene.,Health & Fitness,1124.7,Expense,discuss wall ahead scene
29-12-2023,Question will him quickly.,Salary,1436.15,Expense,question quickly
29-12-2023,Perform benefit baby.,Salary,236.91,Expense,perform benefit baby
